,Mining iterations,Average mining time
Truck #0,18,187.72
Truck #1,17,201.53
Truck #2,20,158.65
Truck #3,18,182.89
Truck #4,19,172.95
Truck #5,20,150.0
Truck #6,18,181.17
Truck #7,18,179.61
Truck #8,17,201.94
Truck #9,19,172.53
Truck #10,19,171.16
Truck #11,19,173.68
Truck #12,19,168.37
Truck #13,19,169.95
Truck #14,18,178.83
Truck #15,19,161.79
Truck #16,16,222.5
Truck #17,19,174.26
Truck #18,17,189.47
Truck #19,19,172.58
Truck #20,19,166.74
Truck #21,19,165.58
Truck #22,19,167.37
Truck #23,17,190.18
Truck #24,17,197.35
Truck #25,18,177.78
Truck #26,18,177.94
Truck #27,17,197.0
Truck #28,16,207.56
Truck #29,17,190.18
Truck #30,18,177.28
Truck #31,16,211.75
Truck #32,16,218.12
Truck #33,20,152.95
Truck #34,16,208.38
Truck #35,18,180.83
Truck #36,18,177.11
Truck #37,18,180.0
Truck #38,19,163.0
Truck #39,19,170.42
Truck #40,18,190.61
Truck #41,18,185.89
Truck #42,19,167.26
Truck #43,17,189.0
Truck #44,17,191.12
Truck #45,16,208.38
Truck #46,20,165.65
Truck #47,19,169.05
Truck #48,19,167.79
Truck #49,18,177.22
Truck #50,17,200.41
Truck #51,18,174.72
Truck #52,19,168.26
Truck #53,17,194.29
Truck #54,19,168.47
Truck #55,19,161.47
Truck #56,19,163.16
Truck #57,18,174.89
Truck #58,17,189.88
Truck #59,17,206.18
Truck #60,15,227.0
Truck #61,19,169.79
Truck #62,17,191.35
Truck #63,16,217.75
Truck #64,18,180.94
Truck #65,19,174.53
Truck #66,17,192.53
Truck #67,21,145.67
Truck #68,19,163.58
Truck #69,16,203.44
Truck #70,18,180.89
Truck #71,17,198.53
Truck #72,18,189.39
Truck #73,20,155.75
Truck #74,17,195.0
Truck #75,17,189.06
Truck #76,17,196.06
Truck #77,18,189.72
Truck #78,20,150.45
Truck #79,17,187.65
Truck #80,19,176.58
Truck #81,19,161.68
Truck #82,20,157.2
Truck #83,20,154.75
Truck #84,18,185.39
Truck #85,17,196.65
Truck #86,18,186.72
Truck #87,17,203.18
Truck #88,18,178.0
Truck #89,17,202.41
Truck #90,19,168.68
Truck #91,16,205.38
Truck #92,18,176.06
Truck #93,18,180.72
Truck #94,16,211.31
Truck #95,16,207.12
Truck #96,18,191.33
Truck #97,18,178.06
Truck #98,18,180.72
Truck #99,19,165.58
Truck #100,19,170.05
Truck #101,17,187.82
Truck #102,18,184.17
Truck #103,18,177.83
Truck #104,19,164.63
Truck #105,18,182.61
Truck #106,16,208.75
Truck #107,18,177.0
Truck #108,17,197.88
Truck #109,18,185.0
Truck #110,18,174.39
Truck #111,19,172.42
Truck #112,17,188.12
Truck #113,18,178.56
Truck #114,16,214.94
Truck #115,18,186.61
Truck #116,19,174.26
Truck #117,20,158.9
Truck #118,17,199.53
Truck #119,18,182.11
Truck #120,19,169.74
Truck #121,18,174.06
Truck #122,16,206.94
Truck #123,17,198.76
Truck #124,19,169.11
Truck #125,19,168.79
